sample,descriptor_log10_f0,descriptor_peak_gain_db,r1_index,r2_index,r3_index,c1_index,c2_index,r1_ohm,r2_ohm,r3_ohm,c1_f,c2_f
288,5.26545267875297,-40.36652539498799,20,16,17,9,30,4700,2200,2700,0.000000000056,0.0000000033
290,5.300196752268556,1.4115568902973996,6,32,7,42,14,330,47000,390,0.000000033000000000000004,0.00000000015
291,3.4689124177819766,1.7301630428893782,17,22,18,57,23,2700,6800,3300,0.00000056,0.00000000082
293,4.035496672774413,-18.31778270778692,33,18,22,50,10,56000,3300,6800,0.00000015,0.000000000068
294,5.609409612122529,3.273044536597106,9,5,11,38,10,560,270,820,0.000000015000000000000002,0.000000000068
295,4.181282560107812,-2.4822378562735263,6,4,25,25,45,330,220,12000,0.0000000012,0.000000056000000000000005
296,3.7391690807506768,-51.85524846382729,27,1,26,25,55,18000,120,15000,0.0000000012,0.00000039
297,3.8288866778421915,-93.23865939737202,32,11,14,21,59,47000,820,1500,0.0000000005599999999999999,0.00000082
298,4.036465905701166,-12.13377802634129,29,7,22,46,25,27000,390,6800,0.000000068,0.0000000012
299,5.483755413198403,-8.8508020715384,10,29,5,31,19,680,27000,270,0.0000000039,0.00000000039
301,3.377714105327557,35.69576712266322,5,34,34,38,39,270,68000,68000,0.000000015000000000000002,0.000000018000000000000002
302,5.897674481751638,-93.437738371876,33,2,3,12,38,56000,150,180,0.00000000009999999999999999,0.000000015000000000000002
303,3.793713488284566,2.1605910859681314,2,14,4,55,45,150,1500,220,0.00000039,0.000000056000000000000005
304,4.879209356581427,-29.817004580960745,15,27,30,1,34,1800,18000,33000,0.000000000012,0.0000000068000000000000005
305,6.348171536454661,6.369368965109754,3,3,9,20,16,180,180,560,0.0000000004699999999999999,0.00000000022
306,6.254547532887608,39.91862558267045,2,32,30,7,7,150,47000,33000,0.000000000039,0.000000000039
308,6.734688580690753,24.44420773480616,4,2,27,3,5,220,150,18000,0.000000000018,0.000000000027
309,4.149331798542996,-51.64741606624647,32,29,2,38,30,47000,27000,150,0.000000015000000000000002,0.0000000033
310,3.8876643226403385,-35.60013126626946,26,34,5,43,30,15000,68000,270,0.000000039000000000000005,0.0000000033
311,5.034383949298372,-13.099937530024766,29,15,25,18,18,27000,1800,12000,0.00000000033,0.00000000033
312,4.006005366364768,-6.3394027075136625,15,28,21,28,37,1800,22000,5600,0.0000000022000000000000003,0.000000012000000000000002
313,2.608654089246387,18.518931486597396,19,16,30,60,30,3900,2200,33000,0.000001,0.0000000033
314,3.240825114877783,-86.8524876097542,34,31,22,14,54,68000,39000,6800,0.00000000015,0.00000033
315,3.2076430090027,-36.57113933867599,21,33,20,29,50,5600,56000,4700,0.0000000027,0.00000015
316,6.203230103195529,16.765626886603155,0,30,20,10,18,100,33000,4700,0.000000000068,0.00000000033
318,6.060620952616797,2.1251074795572027,9,21,11,21,11,560,5600,820,0.0000000005599999999999999,0.000000000082
319,3.284697045625918,-10.009506844580141,16,30,11,50,41,2200,33000,820,0.00000015,0.000000027
320,6.105859189274936,-55.455214788679804,24,1,5,15,29,10000,120,270,0.00000000018,0.0000000027
321,3.7557366192542605,-70.31039322917151,18,24,20,13,57,3300,10000,4700,0.00000000012,0.00000056
322,3.884180502232087,-38.95610807981739,29,23,33,11,38,27000,8200,56000,0.000000000082,0.000000015000000000000002
323,4.155937397606957,-56.41309224026115,34,35,18,15,33,68000,82000,3300,0.00000000018,0.0000000056000000000000005
324,5.067690218080108,17.718692385380656,12,11,24,25,18,1000,820,10000,0.0000000012,0.00000000033
326,3.7534631367421127,-66.85158935774807,25,14,26,13,54,12000,1500,15000,0.00000000012,0.00000033
327,4.415254037175109,-91.706551174968,14,29,10,8,59,1500,27000,680,0.000000000047,0.00000082
328,5.957445335611855,15.059827617936556,11,30,20,23,0,820,33000,4700,0.00000000082,0.00000000001
329,5.753876748441216,-24.168417596808503,6,29,5,17,30,330,27000,270,0.00000000027,0.0000000033
330,4.789285040093188,28.657740874424206,12,10,32,25,17,1000,680,47000,0.0000000012,0.00000000027
331,3.7164303616551915,-108.08721982413567,36,23,8,20,57,100000,8200,470,0.0000000004699999999999999,0.00000056
332,3.6225102799275875,6.292305468906375,19,20,35,24,35,3900,4700,82000,0.000000001,0.0000000082
334,4.219168366247455,-91.725882436066,25,31,21,0,51,12000,39000,5600,0.00000000001,0.00000018
335,4.407855450940422,21.759200488180976,16,29,29,39,7,2200,27000,27000,0.000000018000000000000002,0.000000000039
336,5.164114356041782,-23.741444123753098,24,30,13,19,18,10000,33000,1200,0.00000000039,0.00000000033
337,5.441701497444609,-24.08320665444377,19,3,18,16,29,3900,180,3300,0.00000000022,0.0000000027
338,4.829598259155576,-61.810779622451555,27,23,24,1,35,18000,8200,10000,0.000000000012,0.0000000082
339,6.727049251424305,2.0070741044860396,11,15,19,1,6,820,1800,3900,0.000000000012,0.000000000033
340,4.1377610064015125,53.12248074086412,3,14,35,50,10,180,1500,82000,0.00000015,0.000000000068
342,4.486592684081592,-1.5566775355083486,29,15,31,23,20,27000,1800,39000,0.00000000082,0.0000000004699999999999999
343,3.5798872088587137,-23.2361893544911,22,23,8,57,27,6800,8200,470,0.00000056,0.0000000018
344,4.0067815503299915,-108.08667935726092,33,31,5,15,52,56000,39000,270,0.00000000018,0.00000022
345,3.472674050265915,16.070014105261674,5,7,20,45,46,270,390,4700,0.000000056000000000000005,0.000000068
346,2.9435326604864125,4.8050536542367075,31,30,34,48,17,39000,33000,68000,0.0000001,0.00000000027
347,2.4120194582621273,6.613357640092571,8,29,23,49,59,470,27000,8200,0.00000012000000000000002,0.00000082
348,3.5309998165357177,21.111376529767934,6,25,24,40,42,330,12000,10000,0.000000022000000000000002,0.000000033000000000000004
349,2.299061061967213,17.377345443692235,16,28,28,52,46,2200,22000,22000,0.00000022,0.000000068
350,2.0340180145397073,16.904997563256405,11,22,33,47,58,820,6800,56000,0.000000082,0.0000006800000000000001
351,4.340824233761004,-1.7633575104999315,12,2,11,54,26,1000,150,820,0.00000033,0.0000000015
352,4.091961183797292,-0.212353339769336,8,3,8,54,35,470,180,470,0.00000033,0.0000000082
353,5.342370289683707,-46.39837836326586,32,20,14,13,22,47000,4700,1500,0.00000000012,0.0000000006799999999999999
354,3.4412561335715806,35.714409340531844,3,36,25,51,35,180,100000,12000,0.00000018,0.0000000082
355,4.182510188317648,-60.08470242386435,15,4,12,24,57,1800,220,1000,0.000000001,0.00000056
356,3.592647304925364,-48.8315649959311,18,28,21,20,52,3300,22000,5600,0.0000000004699999999999999,0.00000022
357,3.902807407849886,-7.447490447380599,32,16,34,25,28,47000,2200,68000,0.0000000012,0.0000000022000000000000003
358,4.7630362526109415,-63.77106596506746,24,24,3,21,38,10000,10000,180,0.0000000005599999999999999,0.000000015000000000000002
359,3.706639751674325,-1.7238762404653805,11,33,11,47,39,820,56000,820,0.000000082,0.000000018000000000000002
360,4.975131522156076,-65.26536290926487,4,27,16,3,54,220,18000,2200,0.000000000018,0.00000033
361,4.616037903690324,28.10825794929978,4,25,21,50,11,220,12000,5600,0.00000015,0.000000000082
362,4.4343281107301555,17.94544437202545,6,25,17,42,25,330,12000,2700,0.000000033000000000000004,0.0000000012
363,2.8087922533319207,-5.555867598211758,14,23,19,45,52,1500,8200,3900,0.000000056000000000000005,0.00000022
364,4.716013456773002,-44.9815238195491,19,25,28,1,37,3900,12000,22000,0.000000000012,0.000000012000000000000002
365,4.219793495004975,-66.36347430955948,11,23,8,20,57,820,8200,470,0.0000000004699999999999999,0.00000056
366,5.323749959784839,-30.40887480809034,29,8,11,38,12,27000,470,820,0.000000015000000000000002,0.00000000009999999999999999
367,5.269510954731537,1.4942247665132204,21,23,22,25,5,5600,8200,6800,0.0000000012,0.000000000027
368,4.890832717284167,-40.08650275508648,25,27,25,4,28,12000,18000,12000,0.000000000021999999999999998,0.0000000022000000000000003
369,3.051329696431029,-0.13926942522487282,2,14,34,28,60,150,1500,68000,0.0000000022000000000000003,0.000001
370,3.3732213684806447,-35.00108043495429,33,27,30,21,39,56000,18000,33000,0.0000000005599999999999999,0.000000018000000000000002
371,4.3166360745291374,4.106146360160765,5,24,24,24,40,270,10000,10000,0.000000001,0.000000022000000000000002
372,4.371661418999789,-76.75603459076572,32,8,23,12,49,47000,470,8200,0.00000000009999999999999999,0.00000012000000000000002
373,5.003355192634066,-66.69157391915056,22,9,14,11,43,6800,560,1500,0.000000000082,0.000000039000000000000005
374,3.82590406691613,17.888583470807895,16,36,28,34,27,2200,100000,22000,0.0000000068000000000000005,0.0000000018
375,6.429047493585954,25.25427325861157,9,36,26,6,1,560,100000,15000,0.000000000033,0.000000000012
376,2.861619834943206,-10.486226851739994,16,2,16,53,57,2200,150,2200,0.00000027,0.00000056
377,3.674505495864265,-9.001089300537677,8,14,10,43,49,470,1500,680,0.000000039000000000000005,0.00000012000000000000002
378,4.993390849077078,-47.993878874632145,17,2,0,32,43,2700,150,100,0.0000000047,0.000000039000000000000005
379,2.0825368970698115,1.6521183593922537,33,30,34,57,28,56000,33000,68000,0.00000056,0.0000000022000000000000003
380,5.47571411527441,-31.318982545928147,25,4,6,39,16,12000,220,330,0.000000018000000000000002,0.00000000022
381,3.8663274949720563,-0.16065160632123554,26,7,26,46,25,15000,390,15000,0.000000068,0.0000000012
382,3.772382785687091,-41.58114371590092,9,11,10,32,58,560,820,680,0.0000000047,0.0000006800000000000001
383,5.016368559873244,-12.969159715178943,25,30,17,35,1,12000,33000,2700,0.0000000082,0.000000000012
384,5.057148249383891,-49.85688576092054,19,21,16,8,35,3900,5600,2200,0.000000000047,0.0000000082
385,3.645189135411292,-49.23625554877607,34,12,5,51,41,68000,1000,270,0.00000018,0.000000027
386,4.276101577729852,-77.78876981912823,25,33,19,5,46,12000,56000,3900,0.000000000027,0.000000068
387,3.4339723184242383,-48.58866815562077,33,33,4,48,33,56000,56000,220,0.0000001,0.0000000056000000000000005
388,4.948451102888749,-10.117438972831334,22,29,16,29,12,6800,27000,2200,0.0000000027,0.00000000009999999999999999
389,1.6986554501973596,14.477906604915022,26,34,35,57,39,15000,68000,82000,0.00000056,0.000000018000000000000002
390,4.665051151114826,-38.57540743446408,27,24,4,38,21,18000,10000,220,0.000000015000000000000002,0.0000000005599999999999999
391,5.47547571469631,-1.4996729517247376,32,21,32,11,2,47000,5600,47000,0.000000000082,0.000000000015
392,2.899026312457741,-5.111177467979299,6,34,33,29,59,330,68000,56000,0.0000000027,0.00000082
393,5.3296946291761405,-26.74911564640659,15,21,21,6,28,1800,5600,5600,0.000000000033,0.0000000022000000000000003
394,4.748661677927364,21.67174848364879,10,9,25,28,24,680,560,12000,0.0000000022000000000000003,0.000000001
396,4.767889685471124,-91.95436401412516,29,0,26,2,54,27000,100,15000,0.000000000015,0.00000033
397,5.997567286770171,3.1612199257849185,10,16,12,26,6,680,2200,1000,0.0000000015,0.000000000033
398,4.05099927045982,-89.66209862463167,35,23,15,14,48,82000,8200,1800,0.00000000015,0.0000001
399,5.5411517841826505,9.74298448215957,7,19,13,38,6,390,3900,1200,0.000000015000000000000002,0.000000000033
401,2.3641843676381646,-5.800755574218231,19,27,16,59,47,3900,18000,2200,0.00000082,0.000000082
402,3.6474477730745027,6.833141423094817,14,33,18,55,22,1500,56000,3300,0.00000039,0.0000000006799999999999999
403,3.3021876513242088,-38.30423849969864,35,22,12,57,27,82000,6800,1000,0.00000056,0.0000000018
404,5.757538955195593,-50.28159209156647,14,14,7,9,32,1500,1500,390,0.000000000056,0.0000000047
405,5.8173323564792945,-38.093528650763446,25,0,2,42,13,12000,100,150,0.000000033000000000000004,0.00000000012
406,3.5113862362282413,-2.042245055211632,14,8,13,58,35,1500,470,1200,0.0000006800000000000001,0.0000000082
407,5.735375963807182,-12.591943024549124,16,7,23,8,22,2200,390,8200,0.000000000047,0.0000000006799999999999999
408,3.7517274565735694,18.39280435670926,13,7,24,54,23,1200,390,10000,0.00000033,0.00000000082
409,4.109967313136925,-6.476587284141673,2,32,28,19,49,150,47000,22000,0.00000000039,0.00000012000000000000002
410,3.660349619617665,21.672957680523293,9,33,22,56,22,560,56000,6800,0.00000047,0.0000000006799999999999999
411,4.235491925249078,-1.4966110163973154,14,33,19,29,33,1500,56000,3900,0.0000000027,0.0000000056000000000000005
412,4.6577311780764346,-33.289112346697806,27,23,7,48,9,18000,8200,390,0.0000001,0.000000000056
413,5.469650622108533,-16.330992175425152,34,1,35,14,16,68000,120,82000,0.00000000015,0.00000000022
414,4.732335845917579,-28.004988763024507,20,27,14,20,30,4700,18000,1500,0.0000000004699999999999999,0.0000000033
416,3.4487658821722977,2.5213725310468886,27,21,33,30,31,18000,5600,56000,0.0000000033,0.0000000039
417,3.8798505632861184,21.506027689142968,20,32,33,42,9,4700,47000,56000,0.000000033000000000000004,0.000000000056
419,3.55320862401602,10.820917619549757,18,23,25,43,27,3300,8200,12000,0.000000039000000000000005,0.0000000018
420,3.4532695963842843,-15.939769426283997,20,33,14,40,40,4700,56000,1500,0.000000022000000000000002,0.000000022000000000000002
421,4.330313176033874,-17.39446280584803,24,19,17,29,29,10000,3900,2700,0.0000000027,0.0000000027
422,3.0845624727513243,16.280759067753163,0,17,18,49,56,100,2700,3300,0.00000012000000000000002,0.00000047
423,4.4929239429412045,-52.92621975080908,21,15,18,14,43,5600,1800,3300,0.00000000015,0.000000039000000000000005
425,5.265537387804068,-52.30114845983895,34,8,6,28,28,68000,470,330,0.0000000022000000000000003,0.0000000022000000000000003
426,5.633147528490724,2.43214248867669,18,30,25,8,11,3300,33000,12000,0.000000000047,0.000000000082
427,4.5460917112031325,-42.88134514777919,13,24,26,5,44,1200,10000,15000,0.000000000027,0.000000047000000000000004
429,2.9399441557240933,27.34481492125938,12,12,34,41,43,1000,1000,68000,0.000000027,0.000000039000000000000005
430,3.1188229328720176,-22.080941779670898,29,12,35,28,47,27000,1000,82000,0.0000000022000000000000003,0.000000082
431,3.942187682392716,-5.327646640209754,27,23,24,38,19,18000,8200,10000,0.000000015000000000000002,0.00000000039
432,5.363963539321924,8.131069940347608,7,31,12,38,11,390,39000,1000,0.000000015000000000000002,0.000000000082
433,4.344034450252284,-32.05014919481122,35,2,17,40,33,82000,150,2700,0.000000022000000000000002,0.0000000056000000000000005
434,5.065509101823415,-19.774388513485874,15,16,5,31,27,1800,2200,270,0.0000000039,0.0000000018
435,3.927349157380564,-31.554352566658753,23,25,4,50,28,8200,12000,220,0.00000015,0.0000000022000000000000003
436,3.075771273491382,-34.25848871672523,26,3,17,46,57,15000,180,2700,0.000000068,0.00000056
437,2.406951080221183,-44.92046482225058,32,35,28,29,52,47000,82000,22000,0.0000000027,0.00000022
438,4.086610439387193,-0.6920273345769585,11,10,11,47,34,820,680,820,0.000000082,0.0000000068000000000000005
439,4.821183761829765,-49.2143109285629,34,18,5,34,24,68000,3300,270,0.0000000068000000000000005,0.000000001
440,4.93937137473638,-45.30660607155242,33,10,20,17,31,56000,680,4700,0.00000000027,0.0000000039
441,5.91600569813884,-39.9841833431667,15,29,0,16,24,1800,27000,100,0.00000000022,0.000000001
442,6.335000884486534,-5.258861947989626,1,16,3,19,22,120,2200,180,0.00000000039,0.0000000006799999999999999
443,3.8179050565254293,-12.959635509714989,25,24,17,54,13,12000,10000,2700,0.00000033,0.00000000012
444,3.5088957781884402,-42.154251288094464,19,9,8,41,55,3900,560,470,0.000000027,0.00000039
445,3.68406153559672,36.64376303338964,13,3,35,56,15,1200,180,82000,0.00000047,0.00000000018
446,4.970912173888704,36.609258675957115,10,18,32,30,6,680,3300,47000,0.0000000033,0.000000000033
447,4.748924876838097,-54.54562780290154,33,34,1,31,21,56000,68000,120,0.0000000039,0.0000000005599999999999999
448,5.789984470625201,-10.327118579439036,31,7,25,25,1,39000,390,12000,0.0000000012,0.000000000012
449,4.9600042177017745,-18.266189554624585,27,11,21,22,24,18000,820,5600,0.0000000006799999999999999,0.000000001
450,5.741957181891529,-37.5642564402021,22,7,2,26,24,6800,390,150,0.0000000015,0.000000001
451,4.98354243219863,3.4940160761756367,24,16,26,33,3,10000,2200,15000,0.0000000056000000000000005,0.000000000018
452,5.728799963905484,-44.04247968150286,27,28,14,4,17,18000,22000,1500,0.000000000021999999999999998,0.00000000027
453,4.041742813344251,16.45062240730654,20,31,32,26,22,4700,39000,47000,0.0000000015,0.0000000006799999999999999
454,4.07910592443381,21.926021996257592,13,10,26,50,15,1200,680,15000,0.00000015,0.00000000018
455,4.531207280980439,-13.156408279470845,0,32,36,4,48,100,47000,100000,0.000000000021999999999999998,0.0000001
457,6.1264448912069405,24.113597343898316,3,1,19,20,12,180,120,3900,0.0000000004699999999999999,0.00000000009999999999999999
458,4.937194558855686,-68.7898597461546,23,13,23,1,42,8200,1200,8200,0.000000000012,0.000000033000000000000004
459,3.769612145593602,-42.33931669432442,30,29,6,40,34,33000,27000,330,0.000000022000000000000002,0.0000000068000000000000005
460,2.3384941049626575,-17.789483014766333,29,16,35,37,53,27000,2200,82000,0.000000012000000000000002,0.00000027
461,6.34717007992241,1.4250244401524141,13,4,14,21,6,1200,220,1500,0.0000000005599999999999999,0.000000000033
462,4.613061407047514,-21.794825144144895,17,34,4,49,16,2700,68000,220,0.00000012000000000000002,0.00000000022
463,3.0906232336376065,0.023226191151192246,22,3,26,47,47,6800,180,15000,0.000000082,0.000000082
464,4.226149727160384,16.640725288846262,10,15,20,44,23,680,1800,4700,0.000000047000000000000004,0.00000000082
465,4.183954395807228,-78.38445430101453,14,24,2,23,58,1500,10000,150,0.00000000082,0.0000006800000000000001
466,5.735833197436029,15.940717319983873,5,14,25,11,19,270,1500,12000,0.000000000082,0.00000000039
467,5.688154216493336,-8.72588462857116,29,9,28,12,11,27000,560,22000,0.00000000009999999999999999,0.000000000082
468,5.6454622873056115,16.418944038100427,2,0,12,39,13,150,100,1000,0.000000018000000000000002,0.00000000012
469,5.213875831822708,32.332497454245946,4,8,25,26,18,220,470,12000,0.0000000015,0.00000000033
470,5.594025978943155,20.65866339909178,2,5,21,20,22,150,270,5600,0.0000000004699999999999999,0.0000000006799999999999999
471,4.292801643956938,-16.929167320178212,30,27,20,49,0,33000,18000,4700,0.00000012000000000000002,0.00000000001
472,5.012365998163738,16.79302105365407,8,4,18,39,17,470,220,3300,0.000000018000000000000002,0.00000000027
473,6.155727305453749,24.67568910239832,1,19,25,9,14,120,3900,12000,0.000000000056,0.00000000015
474,3.695749825514187,3.2642741084192006,11,10,28,29,44,820,680,22000,0.0000000027,0.000000047000000000000004
475,4.735661706323592,-59.639355673168254,22,3,6,27,47,6800,180,330,0.0000000018,0.000000082
477,4.323184375542607,-28.343701781800345,20,26,3,54,17,4700,15000,180,0.00000033,0.00000000027
478,5.1547820632762145,8.427788243175693,22,4,27,37,5,6800,220,18000,0.000000012000000000000002,0.000000000027
479,4.4874251940143965,-32.36010128915283,26,3,11,37,38,15000,180,820,0.000000012000000000000002,0.000000015000000000000002
480,3.366973751385523,-6.644544394647949,24,28,20,49,25,10000,22000,4700,0.00000012000000000000002,0.0000000012
482,5.579430835135904,3.278735470174516,9,29,11,36,7,560,27000,820,0.00000001,0.000000000039
483,5.633557137028351,5.32325906479437,15,31,23,11,13,1800,39000,8200,0.000000000082,0.00000000012
484,5.821623761617747,-45.93333701227581,29,11,2,28,16,27000,820,150,0.0000000022000000000000003,0.00000000022
485,4.4700740050866745,37.245621574121856,10,30,34,27,18,680,33000,68000,0.0000000018,0.00000000033
486,6.082159870715898,13.797459740719951,8,30,19,13,11,470,33000,3900,0.00000000012,0.000000000082
487,3.607268502335781,-35.126464782212004,22,24,1,58,32,6800,10000,120,0.0000006800000000000001,0.0000000047
488,5.935734252055111,-44.88895969719861,27,6,19,5,24,18000,330,3900,0.000000000027,0.000000001
489,5.030869500917236,-36.65489936164815,4,3,3,26,47,220,180,180,0.0000000015,0.000000082
490,5.928466873251936,-25.800738801631937,19,17,4,24,12,3900,2700,220,0.000000001,0.00000000009999999999999999
491,6.555837777880601,-3.2253082145583645,9,0,16,8,16,560,100,2200,0.000000000047,0.00000000022
492,6.52538773763025,20.10341162560112,2,32,15,16,7,150,47000,1800,0.00000000022,0.000000000039
493,3.5012285995500445,-13.089898528907533,31,10,26,40,37,39000,680,15000,0.000000022000000000000002,0.000000012000000000000002
494,5.355197243945141,-65.02208416505287,22,1,8,17,42,6800,120,470,0.00000000027,0.000000033000000000000004
495,4.005964892028126,-71.53662172582015,32,27,27,5,43,47000,18000,18000,0.000000000027,0.000000039000000000000005
497,5.247801674066894,-1.836366099913434,5,7,29,7,32,270,390,27000,0.000000000039,0.0000000047
498,4.250603822574517,4.493162789194166,18,2,21,48,24,3300,150,5600,0.0000001,0.000000001
499,4.887445154537915,-60.02334787089901,16,6,11,16,47,2200,330,820,0.00000000022,0.000000082
500,2.784230816896273,26.20447157901651,19,20,35,49,30,3900,4700,82000,0.00000012000000000000002,0.0000000033
501,5.948184498990328,25.976928826523952,7,4,30,8,14,390,220,33000,0.000000000047,0.00000000015
502,4.790954820541094,-8.337262941815158,20,17,15,51,1,4700,2700,1800,0.00000018,0.000000000012
503,2.0802275646582262,16.600634934932252,23,31,33,58,34,8200,39000,56000,0.0000006800000000000001,0.0000000068000000000000005
504,3.0823074379577684,-11.575409594613545,35,1,28,59,35,82000,120,22000,0.00000082,0.0000000082
505,5.127332410671576,24.829886754988287,8,9,23,45,1,470,560,8200,0.000000056000000000000005,0.000000000012
506,3.6563097092672647,-51.594330357512405,19,34,33,6,51,3900,68000,56000,0.000000000033,0.00000018
507,4.382759639918703,-5.248487406782791,14,14,11,56,14,1500,1500,820,0.00000047,0.00000000015
508,5.822113161907415,-32.79109384622012,17,9,4,20,25,2700,560,220,0.0000000004699999999999999,0.0000000012
509,5.193605078065924,-28.194642083691726,24,2,7,48,15,10000,150,390,0.0000001,0.00000000018
510,2.7497136172617926,4.3334370035713725,21,15,24,53,40,5600,1800,10000,0.00000027,0.000000022000000000000002
512,3.8797124367155464,15.165228309729127,22,11,31,54,8,6800,820,39000,0.00000033,0.000000000047
513,6.113167029345272,-24.544923444856344,36,16,23,8,3,100000,2200,8200,0.000000000047,0.000000000018
514,4.68317556941478,14.417209334933258,6,14,17,33,29,330,1500,2700,0.0000000056000000000000005,0.0000000027
515,4.624820980227238,-40.275174930458014,4,18,8,23,51,220,3300,470,0.00000000082,0.00000018
517,5.863713388376044,-49.25306412921155,30,14,8,14,20,33000,1500,470,0.00000000015,0.0000000004699999999999999
518,3.276949074657633,-36.73942726829255,35,9,35,26,48,82000,560,82000,0.0000000015,0.0000001
519,3.2170053270016936,-52.25550350711165,23,10,4,47,59,8200,680,220,0.000000082,0.00000082
520,5.4209294440578955,-57.30565978260327,25,14,3,19,31,12000,1500,180,0.00000000039,0.0000000039
521,4.242231849765712,-15.998643491223515,19,36,10,39,27,3900,100000,680,0.000000018000000000000002,0.0000000018
522,4.220875628507413,13.081991424146564,11,21,26,27,32,820,5600,15000,0.0000000018,0.0000000047
523,5.3606695904947825,-8.248961871978876,29,14,31,9,14,27000,1500,39000,0.000000000056,0.00000000015
524,6.47485553572891,-29.7560188774233,23,2,7,18,14,8200,150,390,0.00000000033,0.00000000015
525,4.2409638841903865,-15.190193756511459,21,2,36,17,40,5600,150,100000,0.00000000027,0.000000022000000000000002
526,3.591561912110709,-22.722874523751404,24,18,11,47,36,10000,3300,820,0.000000082,0.00000001
527,3.6754752983257473,-6.840246953075812,20,26,34,19,37,4700,15000,68000,0.00000000039,0.000000012000000000000002
528,3.9213689111536607,-39.63457842684439,34,21,16,31,35,68000,5600,2200,0.0000000039,0.0000000082
530,4.165017732419765,-9.930233543335156,33,26,27,35,10,56000,15000,18000,0.0000000082,0.000000000068
533,3.673013342041085,13.69691406127028,0,21,23,36,50,100,5600,8200,0.00000001,0.00000015
534,4.924624022744553,-18.412642873961538,14,24,32,2,31,1500,10000,47000,0.000000000015,0.0000000039
535,1.8468112105104617,-26.531379386188057,34,36,27,43,51,68000,100000,18000,0.000000039000000000000005,0.00000018
536,2.874631547643622,-41.60741923064714,33,30,32,22,46,56000,33000,47000,0.0000000006799999999999999,0.000000068
537,4.00385576126046,-73.29532605753188,25,19,8,24,51,12000,3900,470,0.000000001,0.00000018
538,5.444287531323268,-37.42922888575571,13,36,2,20,31,1200,100000,150,0.0000000004699999999999999,0.0000000039
539,3.4843632493536374,-44.64510298355837,24,2,26,28,57,10000,150,15000,0.0000000022000000000000003,0.00000056
540,4.407109152772457,-32.2515508517193,30,3,11,49,28,33000,180,820,0.00000012000000000000002,0.0000000022000000000000003
541,2.6206186429601734,-0.18885568799641045,36,11,36,55,32,100000,820,100000,0.00000039,0.0000000047
542,3.5035985871162985,-15.178541214500113,20,35,11,58,24,4700,82000,820,0.0000006800000000000001,0.000000001
543,3.4070287248659366,-23.752061287903295,14,15,25,27,52,1500,1800,12000,0.0000000018,0.00000022
544,3.5662072001565535,-16.69847387691803,24,6,14,55,36,10000,330,1500,0.00000039,0.00000001
545,3.051398168909855,-27.145926730764444,33,36,22,34,37,56000,100000,6800,0.0000000068000000000000005,0.000000012000000000000002
546,4.729748270022555,-18.32096758316598,21,31,10,45,8,5600,39000,680,0.000000056000000000000005,0.000000000047
548,4.612689206702391,-68.38338403360262,23,4,12,20,50,8200,220,1000,0.0000000004699999999999999,0.00000015
549,6.3097286550983736,19.487179859852642,9,14,21,16,1,560,1500,5600,0.00000000022,0.000000000012
551,4.266512837217003,-99.67258771871516,36,8,29,2,55,100000,470,27000,0.000000000015,0.00000039
553,3.4084416698501823,40.013256723760506,6,12,31,45,34,330,1000,39000,0.000000056000000000000005,0.0000000068000000000000005
554,5.4425313925650824,-41.099308825752004,1,9,6,15,45,120,560,330,0.00000000018,0.000000056000000000000005
555,5.382729387634446,20.555107076019908,6,10,20,25,18,330,680,4700,0.0000000012,0.00000000033
556,3.0607138384889656,-17.59949353418001,24,12,25,38,49,10000,1000,12000,0.000000015000000000000002,0.00000012000000000000002
557,4.656867557744233,-41.294530203492855,10,31,12,18,45,680,39000,1000,0.00000000033,0.000000056000000000000005
558,2.6246787650554264,-26.974739532188607,23,17,15,48,55,8200,2700,1800,0.0000001,0.00000039
559,5.790616574092647,11.297034126988574,8,4,25,11,20,470,220,12000,0.000000000082,0.0000000004699999999999999
560,3.560344739069516,-15.220159264293185,7,29,21,30,53,390,27000,5600,0.0000000033,0.00000027
561,3.9462421993652366,-31.754503565494808,35,18,19,33,32,82000,3300,3900,0.0000000056000000000000005,0.0000000047
562,5.1029221373291955,-3.5505278266200517,5,28,3,48,18,270,22000,180,0.0000001,0.00000000033
563,6.10983535377556,-62.34447691630654,31,7,1,18,24,39000,390,120,0.00000000033,0.000000001
564,4.531518744724087,-38.557756045083245,30,31,7,45,9,33000,39000,390,0.000000056000000000000005,0.000000000056
565,4.132088266024103,-9.86238297302217,21,34,15,51,11,5600,68000,1800,0.00000018,0.000000000082
566,5.0606656602075075,-25.93335528401309,15,35,12,18,30,1800,82000,1000,0.00000000033,0.0000000033
567,4.1276480045204424,-11.585699924253852,9,4,3,50,42,560,220,180,0.00000015,0.000000033000000000000004
568,4.907169051188312,-1.3400556082832542,9,27,15,25,30,560,18000,1800,0.0000000012,0.0000000033
569,4.092215697787364,-53.31383685527539,12,12,8,27,55,1000,1000,470,0.0000000018,0.00000039
570,4.91140069811772,25.328404447688023,7,1,24,31,24,390,120,10000,0.0000000039,0.000000001
572,5.042226379970289,-45.17761195432164,15,12,13,14,39,1800,1000,1200,0.00000000015,0.000000018000000000000002
574,3.8201051469847314,-22.178473986540414,20,19,27,21,41,4700,3900,18000,0.0000000005599999999999999,0.000000027
575,3.802318523265213,-80.29235911169097,27,22,24,8,53,18000,6800,10000,0.000000000047,0.00000027
